"id";"title";"description";"item_list";"sample";"ws_id"
8;"Time on task";"Description";0;"at41";1
9;"Navigation";"Description";0;"at41";1
10;"NewPanel";"Description";0;"at41";1
11;"Lollipop";"Description";0;"at41";1
12;"What's going on ? seeking to understand";"Description";0;"at41";1
13;"NewLADAPanel";"Description";0;"";0
14;"NewPanel";"Description";0;"";0
15;"NewPanel";"Description";0;"";0
17;"Predicting chance of success ";"Description";0;"lada";2
18;"Student Achievements";"Description";0;"lada";2
19;"Comparing the student with his classmates";"Description";0;"lada";2
20;"Comparative skills";"Description";0;"";2
21;"NewPanel";"Description";0;"";2
